0.5 0.5 0.5382489 0.4970388 0.4952346 0.483743 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4551456 0.4131389 0.4186864 0.4163878 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4281178 0.4465779 0.4388505 0.4164394 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5615681 0.4905182 0.4721776 0.47 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5230154 0.4942575 0.4843886 0.4779628 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;
0.5 0.5 0.552187 0.5060438 0.4960568 0.48 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4833111 0.4684467 0.4352058 0.4264681 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5125402 0.5050055 0.4593643 0.4378975 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4842773 0.4712877 0.4666045 0.4493588 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;
0.5 0.5 0.48 0.5020526 0.4918974 0.4911087 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4414738 0.4624026 0.4575526 0.4286886 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4793141 0.4812449 0.44359 0.4510098 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;
0.5 0.5 0.5074596 0.48 0.4819688 0.48 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4125468 0.4260386 0.4072633 0.4065907 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4520611 0.4452507 0.4063051 0.4048927 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.48 0.48 0.48 0.48 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;
0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.47 0.47 0.47 0.47 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4965096 0.4643368 0.42212 0.4413285 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4716542 0.47 0.47 0.47 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5261148 0.4664344 0.4361933 0.4262167 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4999996 0.4990005 0.500002 0.500002 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;
0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.47 0.47 0.47 0.47 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4642128 0.4689898 0.4358878 0.4266997 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5859959 0.5182857 0.47 0.47 0.5 0.5 0.5 0.5 ;0.5 0.5 0.501844 0.5028027 0.4557217 0.4515187 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5365706 0.5014986 0.5042323 0.4778675 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;
0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4280696 0.4415559 0.4481891 0.4430468 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4873156 0.4927422 0.4349584 0.4337631 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5375584 0.4870762 0.454263 0.4473582 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;
0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.542617 0.5171491 0.4671051 0.4639195 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4616317 0.4461811 0.4263105 0.4292943 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.524812 0.4848055 0.47 0.47 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;
0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4869201 0.462185 0.4542074 0.4326732 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4024675 0.4205923 0.4191567 0.4380996 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4456875 0.4665858 0.4540882 0.4366599 0.5 0.5 0.5 0.5 ;0.5 0.5 0.47 0.47 0.47 0.47 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;
0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4718033 0.4253966 0.4066475 0.4010425 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4565718 0.4431755 0.4381015 0.4228042 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5426989 0.514833 0.4756581 0.4549518 0.5 0.5 0.5 0.5 ;0.5 0.5 0.484999 0.4762458 0.4462902 0.4455675 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;
0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5029229 0.4629781 0.4509927 0.4326223 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4464719 0.4355894 0.4398762 0.4247012 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5244876 0.4745398 0.4581093 0.422889 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 ;0.5 0.5 0.4640897 0.4665401 0.457293 0.4247344 0.5 0.5 0.5 0.5 ;0.5 0.5 0.5505804 0.4819883 0.4103985 0.3772962 0.5 0.5 0.5 0.5 ;
